name,高鐡,左營孔子廟,元帝廟北極亭,五里亭,龍虎塔,蓮潭滑水主題樂園,和逸飯店-高雄中山館,哈瑪星台灣鐵道館,棧貳庫KW2,高雄港港史館,大港橋,公園二路(集合),晚餐(鹽埕區夜市),鹽埕區鹽埕國民小學(集合)
高鐡,0,3.5,3.3,2.8,2.6,2.1,9.1,9.2,9.4,9.4,9.8,9.2,9.7,9.8
左營孔子廟,3.5,0,0.6,1.9,1.7,1.8,10.1,9.8,9.5,9.5,9.8,9.4,8.9,8.9
元帝廟北極亭,3.3,0.6,0,1.3,1.2,1.5,9.7,8.9,8.9,8.9,9.2,8.8,8.3,8.4
五里亭,2.8,1.9,1.3,0,0.85,1.2,9.4,8.4,8.6,8.6,8.9,8.5,8,8.1
龍虎塔,2.6,1.7,1.2,0.85,0,1.4,9.4,8.5,8.8,8.8,9.1,8.6,8.2,8.2
蓮潭滑水主題樂園,2.1,1.8,1.5,1.2,1.4,0,8.8,8.1,8.3,8.3,8.6,8.1,7.7,7.7
和逸飯店-高雄中山館,9.1,10.1,9.7,9.4,9.4,8.8,0,3.9,4.2,4.2,3.2,3.3,3.8,3.2
哈瑪星台灣鐵道館,9.2,9.8,8.9,8.4,8.5,8.1,3.9,0,0.24,0.21,1.1,0.65,0.45,0.7
棧貳庫KW2,9.4,9.5,8.9,8.6,8.8,8.3,4.2,0.24,0,0.17,1.3,0.9,0.7,0.95
高雄港港史館,9.4,9.5,8.9,8.6,8.8,8.3,4.2,0.21,0.17,0,1.3,0.85,0.65,0.9
大港橋,9.8,9.8,9.2,8.9,9.1,8.6,3.2,1.1,1.3,1.3,0,0.45,1,0.85
公園二路(集合),9.2,9.4,8.8,8.5,8.6,8.1,3.3,0.65,0.9,0.85,0.45,0,0.55,0.4
晚餐(鹽埕區夜市),9.7,8.9,8.3,8,8.2,7.7,3.8,0.45,0.7,0.65,1,0.55,0,0.6
鹽埕區鹽埕國民小學(集合),9.8,8.9,8.4,8.1,8.2,7.7,3.2,0.7,0.95,0.9,0.85,0.4,0.6,0
