name,高鐡,左營孔子廟,元帝廟北極亭,五里亭,龍虎塔,再見捌捌陸-臺灣眷村文化園區,和逸飯店-高雄中山館,哈瑪星台灣鐵道館,棧貳庫KW2,高雄港港史館,大港橋,公園二路(集合),晚餐(鹽埕區夜市),鹽埕區鹽埕國民小學(集合)
高鐡,0,9,10,9,9,16,28,27,28,27,30,28,24,24
左營孔子廟,9,0,1,6,5,6,29,25,24,23,25,23,22,22
元帝廟北極亭,10,1,0,5,4,5,31,23,23,22,24,22,21,21
五里亭,9,6,5,0,3,5,29,21,21,21,22,21,20,20
龍虎塔,9,5,4,3,0,5,28,21,22,22,23,21,20,20
再見捌捌陸-臺灣眷村文化園區,16,6,5,5,5,0,32,26,27,27,29,27,26,25
和逸飯店-高雄中山館,28,29,31,29,28,32,0,13,14,13,12,11,12,11
哈瑪星台灣鐵道館,27,25,23,21,21,26,13,0,1,1,4,2,1,2
棧貳庫KW2,28,24,23,21,22,27,14,1,0,1,5,3,3,3
高雄港港史館,27,23,22,21,22,27,13,1,1,0,4,3,2,3
大港橋,30,25,24,22,23,29,12,4,5,4,0,2,4,4
公園二路(集合),28,23,22,21,21,27,11,2,3,3,2,0,2,2
晚餐(鹽埕區夜市),24,22,21,20,20,26,12,1,3,2,4,2,0,2
鹽埕區鹽埕國民小學(集合),24,22,21,20,20,25,11,2,3,3,4,2,2,0
