name,lat,lon
新左營,22.68754,120.30679
澄清湖,22.65384,120.34987
高雄市立澄清湖棒球場,22.65463,120.35881
衛武營國家藝術文化中心,22.623,120.34244
鳳儀書院,22.62773,120.35948
黃埔新村,22.62024,120.36404
淨園農場,22.57899,120.34442
SKM Park Outlets 高雄草衙,22.58259,120.32933
美麗島站,22.63151,120.30191
高雄流行音樂中心,22.61843,120.29302
二二八和平紀念公園,22.62562,120.28747
大港橋,22.61789,120.28385
高雄港港史館,22.61827,120.27942
打狗英國領事館文化園區(山上園區),22.61886,120.26686
鹽埕埔夜市,22.62305,120.27894
龍虎塔,22.6805,120.29247
建業新村,22.69278,120.29153
高雄車站,22.63949,120.30258
高雄市文化中心,22.62577,120.31806
和逸飯店 高雄中山館,22.6133,120.30511
