name,新左營,澄清湖,高雄市立澄清湖棒球場,衛武營國家藝術文化中心,鳳儀書院,黃埔新村,淨園農場,SKM Park Outlets 高雄草衙,美麗島站,高雄流行音樂中心,二二八和平紀念公園,大港橋,高雄港港史館,打狗英國領事館文化園區(山上園區),鹽埕埔夜市,龍虎塔,建業新村,高雄車站,高雄市文化中心,和逸飯店 高雄中山館
新左營,0,30,22,16,24,26,22,18,20,28,24,28,28,30,26,9,14,18,20,26
澄清湖,30,0,6,12,14,18,24,20,22,30,28,30,35,40,35,26,26,22,20,26
高雄市立澄清湖棒球場,22,6,0,16,12,18,28,28,26,35,30,35,35,40,35,26,30,24,22,28
衛武營國家藝術文化中心,16,12,16,0,7,10,16,14,14,22,18,22,24,30,22,20,22,18,14,18
鳳儀書院,24,14,12,7,0,6,18,18,20,26,24,26,28,35,28,24,26,22,16,22
黃埔新村,26,18,18,10,6,0,16,16,22,30,28,30,35,40,30,26,30,24,20,24
淨園農場,22,24,28,16,18,16,0,7,24,26,26,28,30,35,28,24,26,26,20,18
SKM Park Outlets 高雄草衙,18,20,28,14,18,16,7,0,16,20,18,20,22,28,22,20,22,22,18,10
美麗島站,20,22,26,14,20,22,24,16,0,8,5,9,10,16,9,20,26,8,7,7
高雄流行音樂中心,28,30,35,22,26,30,26,20,8,0,5,4,6,12,5,24,26,16,12,10
二二八和平紀念公園,24,28,30,18,24,28,26,18,5,5,0,5,5,12,4,20,24,12,12,10
大港橋,28,30,35,22,26,30,28,20,9,4,5,0,4,12,4,24,26,16,14,12
高雄港港史館,28,35,35,24,28,35,30,22,10,6,5,4,0,7,3,22,26,16,16,14
打狗英國領事館文化園區(山上園區),30,40,40,30,35,40,35,28,16,12,12,12,7,0,3,22,26,16,16,7
鹽埕埔夜市,26,35,35,22,28,30,28,22,9,5,4,4,3,3,0,20,24,14,16,14
龍虎塔,9,26,26,20,24,26,24,20,20,24,20,24,22,22,20,0,6,20,24,30
建業新村,14,26,30,22,26,30,26,22,26,26,24,26,26,26,24,6,0,24,24,30
高雄車站,18,22,24,18,22,24,26,22,8,16,12,16,16,16,14,20,24,0,10,10
高雄市文化中心,20,20,22,14,16,20,20,18,7,12,12,14,16,16,16,24,24,10,0,10
和逸飯店 高雄中山館,26,26,28,18,22,24,18,10,7,10,10,12,14,7,14,30,30,10,10,0
